,hotel,rating,kind_rat,reviews,reviews_clean,price,price_clean
119,Al Muhaidb Al Takhassosi Abaqrino,7.6,Good,"1,188 reviews",1188,SAR 285,285
120,Tulip Inn Riyadh,6.2,Review score,442 reviews,442,SAR 167.84,167.84
121,امجاد الرياض,6.2,Review score,165 reviews,165,SAR 179,179
122,OYO 114 Dome Hotel Al Sulaimaniah,7.2,Good,"2,766 reviews",2766,SAR 142,142
123,Najd Peak By Quiet Rooms,5.4,Review score,608 reviews,608,SAR 374,374
124,هيفن بلازا,6.3,Review score,"3,384 reviews",3384,SAR 248.98,248.98
125,Nawara Dala,7.0,Good,491 reviews,491,SAR 270,270
126,Grand Plaza Hotel-Takhasosi Riyadh,7.7,Good,"1,850 reviews",1850,SAR 367,367
127,Ewaa Express Hotel - Gaber,8.8,Excellent,629 reviews,629,SAR 475,475
128,Coupard Hotel,8.1,Very Good,191 reviews,191,SAR 700,700
129,Shaza Riyadh,8.2,Very Good,"4,624 reviews",4624,SAR 638,638
130,Al Muhaidb King Abdul Aziz - Al Malaz,7.7,Good,796 reviews,796,SAR 275,275
131,الفرحان قرطبه,7.4,Good,43 reviews,43,SAR 344,344
132,فندق لافيرا ان Lavera Inn Hotel,8.2,Very Good,162 reviews,162,SAR 444,444
133,Boudl Al Fayhaa,6.6,Review score,"1,671 reviews",1671,SAR 214,214
134,Al Farhan Hotel Suites (Exit 15),6.4,Review score,454 reviews,454,SAR 191,191
135,Best Western Plus Fursan,8.4,Very Good,"1,490 reviews",1490,SAR 520,520
136,Al Muhaidb Down Town - King Fahd Road,7.9,Good,"1,021 reviews",1021,SAR 250,250
137,Capital O 419 Al Safeer Hotel,6.0,Review score,"1,246 reviews",1246,SAR 124,124
138,Mira Trio Hotel - Riyadh - Tahlia Street,7.4,Good,"2,646 reviews",2646,SAR 338,338
139,Aliah Tolan Palace,6.2,Review score,984 reviews,984,SAR 143,143
140,Al Furat Madayin Hotel,7.0,Good,333 reviews,333,SAR 280,280
141,Towlan Khurais,6.1,Review score,586 reviews,586,SAR 162,162
142,Al Muhaidb Residence - Al Malaz,7.7,Good,"1,339 reviews",1339,SAR 285,285
143,Al Eairy Apartments- Riyadh 3,5.3,Review score,606 reviews,606,SAR 130,130
144,AWFAD Hotel,7.7,Good,962 reviews,962,SAR 372.74,372.74
145,دانة الخليج Danat Al Khaleej Hotel,8.4,Very Good,456 reviews,456,SAR 350,350
146,Makeen Homes by Warwick Hotel,7.9,Good,"1,105 reviews",1105,SAR 400,400
147,Nelover Hotel Ar Rawdah,8.4,Very Good,"1,375 reviews",1375,SAR 482,482
148,Ayan furnished units and Suites,8.1,Very Good,"3,785 reviews",3785,SAR 575,575
149,Al Rahden Hotel,8.5,Very Good,746 reviews,746,SAR 450,450
150,Executive Suites,7.4,Good,709 reviews,709,SAR 330,330
151,Rose Garden Hotel,7.1,Good,"3,294 reviews",3294,SAR 300,300
152,Al Muhaidb Al Diwan - Al Olaya,6.4,Review score,449 reviews,449,SAR 350,350
153,Dana Hotel & Residences 2,9.2,Wonderful,469 reviews,469,SAR 650,650
154,Boudl Al Qasr,7.7,Good,"2,169 reviews",2169,SAR 495,495
155,Alfarhan Panda Alfayha,8.0,Very Good,"1,019 reviews",1019,SAR 315,315
156,Al Malqa Elite Hotel,7.9,Good,823 reviews,823,SAR 475,475
157,Ashbonh Hotel Suites,7.7,Good,390 reviews,390,SAR 347,347
